Generation,BestFitness,AverageFitness,BestID
0,-0.9354,-0.9713,0
1,-0.9328,-0.9586,0
2,-0.9328,-0.9488,0
3,-0.9328,-0.9433,0
4,-0.9247,-0.9354,0
5,-0.9158,-0.9295,0
6,-0.912,-0.9252,0
7,-0.9062,-0.9199,0
8,-0.9062,-0.9155,0
9,-0.9062,-0.9125,0
10,-0.897,-0.9087,0
11,-0.8909,-0.9046,0
12,-0.8909,-0.9024,0
13,-0.8898,-0.8991,0
14,-0.8889,-0.8956,0
15,-0.8877,-0.8934,0
16,-0.8817,-0.8908,0
17,-0.8817,-0.8885,0
18,-0.8817,-0.8859,0
19,-0.8766,-0.8836,0
20,-0.8732,-0.8814,0
21,-0.8732,-0.8787,0
22,-0.873,-0.8769,0
23,-0.873,-0.8757,0
24,-0.8711,-0.8749,0
25,-0.8711,-0.8743,0
26,-0.8698,-0.8733,0
27,-0.8698,-0.8723,0
28,-0.8691,-0.8717,0
29,-0.8688,-0.871,0
30,-0.8687,-0.8701,0
31,-0.8683,-0.8696,0
32,-0.8666,-0.869,0
33,-0.8651,-0.8682,0
34,-0.8649,-0.8676,0
35,-0.8649,-0.8672,0
36,-0.8649,-0.8666,0
37,-0.8641,-0.8661,0
38,-0.8641,-0.8656,0
39,-0.8633,-0.865,0
40,-0.8624,-0.8646,0
41,-0.8615,-0.8637,0
42,-0.8615,-0.8634,0
43,-0.8588,-0.8626,0
44,-0.8588,-0.8619,0
45,-0.8588,-0.8612,0
46,-0.8588,-0.8608,0
47,-0.8586,-0.8604,0
48,-0.8586,-0.8598,0
49,-0.8578,-0.8592,0
50,-0.8573,-0.8588,0
51,-0.8569,-0.8585,0
52,-0.8569,-0.8582,0
53,-0.8569,-0.858,0
54,-0.8568,-0.8577,0
55,-0.8566,-0.8574,0
56,-0.8558,-0.8572,0
57,-0.8558,-0.8569,0
58,-0.8549,-0.8565,0
59,-0.8549,-0.8563,0
60,-0.8549,-0.856,0
61,-0.8549,-0.8559,0
62,-0.8547,-0.8556,0
63,-0.8541,-0.8554,0
64,-0.8539,-0.8552,0
65,-0.8533,-0.8548,0
66,-0.8533,-0.8545,0
67,-0.8533,-0.8543,0
68,-0.8533,-0.8541,0
69,-0.853,-0.8539,0
70,-0.8529,-0.8538,0
71,-0.8517,-0.8536,0
72,-0.8515,-0.8532,0
73,-0.8515,-0.853,0
74,-0.8514,-0.8528,0
75,-0.8514,-0.8525,0
76,-0.8506,-0.8522,0
77,-0.8506,-0.8519,0
78,-0.8506,-0.8516,0
79,-0.8506,-0.8515,0
80,-0.8506,-0.8514,0
81,-0.8504,-0.8512,0
82,-0.8504,-0.8511,0
83,-0.8504,-0.851,0
84,-0.8501,-0.8509,0
85,-0.8501,-0.8508,0
86,-0.8496,-0.8506,0
87,-0.8496,-0.8506,0
88,-0.8496,-0.8505,0
89,-0.8496,-0.8504,0
90,-0.8496,-0.8503,0
91,-0.8496,-0.8502,0
92,-0.8494,-0.85,0
93,-0.8494,-0.8499,0
94,-0.8494,-0.8498,0
95,-0.849,-0.8497,0
96,-0.849,-0.8497,0
97,-0.8486,-0.8496,0
98,-0.8486,-0.8495,0
99,-0.8486,-0.8495,0
100,-0.8485,-0.8493,0
101,-0.8485,-0.8492,0
102,-0.8483,-0.8491,0
103,-0.8478,-0.8489,0
104,-0.8478,-0.8488,0
105,-0.8478,-0.8487,0
106,-0.8478,-0.8486,0
107,-0.8478,-0.8486,0
108,-0.8475,-0.8485,0
109,-0.8475,-0.8484,0
110,-0.8475,-0.8482,0
111,-0.847,-0.848,0
112,-0.847,-0.8479,0
113,-0.8467,-0.8477,0
114,-0.8467,-0.8476,0
115,-0.8467,-0.8475,0
116,-0.8461,-0.8473,0
117,-0.8461,-0.8472,0
118,-0.8461,-0.847,0
119,-0.8458,-0.8468,0
120,-0.8456,-0.8466,0
121,-0.8454,-0.8464,0
122,-0.8454,-0.8463,0
123,-0.8447,-0.8461,0
124,-0.8446,-0.8459,0
125,-0.8446,-0.8459,0
126,-0.8446,-0.8457,0
127,-0.8446,-0.8456,0
128,-0.8443,-0.8454,0
129,-0.8443,-0.8453,0
130,-0.8443,-0.8451,0
131,-0.8443,-0.845,0
132,-0.8437,-0.8449,0
133,-0.8437,-0.8448,0
134,-0.8437,-0.8447,0
135,-0.8437,-0.8446,0
136,-0.8434,-0.8445,0
137,-0.8434,-0.8444,0
138,-0.8434,-0.8443,0
139,-0.8434,-0.8442,0
140,-0.8434,-0.8441,0
141,-0.8434,-0.8439,0
142,-0.8434,-0.8439,0
143,-0.8434,-0.8438,0
144,-0.8431,-0.8438,0
145,-0.8431,-0.8437,0
146,-0.8431,-0.8437,0
147,-0.8431,-0.8436,0
148,-0.843,-0.8435,0
149,-0.843,-0.8435,0
